"ID"	"CountryCode"	"Minor"	"Name"	"SMSEmail"	"MMSEmail"
"4f5765a8-1c58-455a-928a-3b9ed6fd14fe"	"US"	"TRUE"	"Alaska Communications"	"n@msg.acsalaska.com"	
"3704cdaa-739b-4a0d-9f50-72884b67705e"	"US"	"FALSE"	"Alltel"	"n@message.alltel.com"	
"97ce8ec3-4818-4dc0-a043-3ba5caa4317c"	"US"	"TRUE"	"Ameritech"	"n@paging.acswireless.com"	
"9b1ce162-8226-495c-89bf-39f35964cafe"	"US"	"FALSE"	"AT&T"	"n@txt.att.net"	"n@mms.att.net"
"56a0f7e4-8808-4e62-8963-54e37da11667"	"US"	"TRUE"	"BellSouth"	"n@bellsouth.cl"	
"eda4bcb9-b5af-490f-af08-d672bd9c1f34"	"US"	"TRUE"	"Bluegrass Cellular"	"n@sms.bluecell.com"	"n@mms.myblueworks.com"
"8e6473d0-1852-4ee3-be25-dc568e9d78fd"	"US"	"FALSE"	"Boost Mobile"	"n@myboostmobile.com"	
"9d90c194-7cb0-4bd1-8a83-3d894d465917"	"US"	"TRUE"	"Cellcom"	"n@cellcom.quiktxt.com"	
"4a44193b-767a-4166-96c6-dafc5db1066b"	"US"	"TRUE"	"Cellular South"	"n@csouth1.com"	
"5e376558-8ee0-40fd-a3fb-31d845395d66"	"US"	"TRUE"	"Centennial Wireless"	"n@cwemail.com"	
"18f6a330-eaf8-4cac-99cb-a8c93a67bdcf"	"US"	"TRUE"	"Chariton Valley Wireless"	"n@sms.cvalley.net"	
"df78bf61-d9fe-47d8-8fcf-b3f574e9f8aa"	"US"	"TRUE"	"Cincinnati Bell"	"n@gocbw.com"	"n@mms.gocbw.com"
"5664b57d-849c-4894-9741-97a59ea1aaf2"	"US"	"TRUE"	"Cleartalk Wireless"	"n@sms.cleartalk.us"	
"d6c25113-9b1d-4cfc-875d-88dc85bc8b53"	"US"	"FALSE"	"Cricket Wireless"	"n@sms.mycricket.com"	"n@mms.mycricket.com"
"610b543e-ff0b-47fd-a150-79093f3e16e9"	"US"	"TRUE"	"C-Spire Wireless"	"n@cspire1.com"	
"0562ec9b-437f-4030-adc4-0f9dcbee463f"	"US"	"TRUE"	"Edge Wireless"	"n@sms.edgewireless.com"	
"cc50790f-9b17-4785-aaba-f9991fa06a3c"	"US"	"TRUE"	"Element Mobile"	"n@SMS.elementmobile.net"	
"2494e6ae-a4d3-46d6-af45-ecc368180167"	"US"	"TRUE"	"General Communications"	"n@mobile.gci.net"	
"e5a06001-9473-4385-a763-e6e9f7d66c97"	"US"	"TRUE"	"Golden State Cellular"	"n@gscsms.com"	
"55d865c5-cd7d-4d70-ae16-d975c667eacc"	"US"	"TRUE"	"Hawaii Telecom Wireless"	"n@hawaii.sprintpcs.com"	
"05130b5f-0c3a-4608-af7b-f3dc9ef1df06"	"US"	"TRUE"	"LongLines"	"n@text.longlines.com"	
"3070344b-6023-4cc9-b99b-74dd1951a349"	"US"	"FALSE"	"Metro PCS"	"n@mymetropcs.com"	
"785c15df-54a3-4d3f-b418-f110c1148969"	"US"	"TRUE"	"Pocket Wireless"	"n@sms.pocket.com"	
"6e1d047d-bb68-4c9c-aa43-476d56f4c109"	"US"	"TRUE"	"Qwest Wireless"	"n@qwestmp.com"	
"baab47d5-f717-4186-b2fa-a0b0765c927e"	"US"	"TRUE"	"Rogers Wireless (USA)"	"n@pcs.rogers.com"	
